,Age,Gender,Marital status,Race status,Birth,Language,Occupation,Income (K),ec
13982,"[""31"" - ""47""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",451,247
2981,"[""31"" - ""47""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",432,247
2228,"[""31"" - ""47""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",324,247
3441,"[""31"" - ""47""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",324,247
1988,"[""31"" - ""47""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",313,247
3788,"[""31"" - ""47""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",313,247
13655,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",443,248
2994,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",472,248
4524,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",200,248
12363,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",196,248
4525,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",561,248
12678,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",586,248
2397,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",315,248
13461,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",586,248
3252,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",231,248
3502,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",784,248
13249,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",560,248
3598,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",313,248
2142,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",234,248
13419,"[""18"" - ""30""]",2,6,"[""2"" - ""8""]","[""1"" - ""2""]","[""1"" - ""11""]","[""8"" - ""11""]",230,248
4458,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",516,249
12270,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",43,249
13739,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",392,249
12316,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",593,249
4022,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",992,249
4141,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",470,249
3269,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",472,249
16292,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",472,249
12044,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",233,249
12390,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",962,249
12341,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",586,249
14314,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",451,249
4179,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",422,249
15675,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",360,249
12384,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",512,249
13476,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",593,249
12882,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",423,249
16009,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",80,249
14247,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",511,249
3868,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",501,249
13555,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",472,249
16125,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",455,249
12540,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",95,249
2554,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",423,249
3284,"[""22"" - ""64""]",2,6,"[""2"" - ""8""]","[""2"" - ""518""]","[""1"" - ""11""]","[""0"" - ""8""]",423,249
